Iter 10200, task mwe, loss 1.2017935832341513, acc 0.83081, f1 0.10306, p 0.49612, r 0.05750
Iter 10200, task hyperlinks, loss 0.41397281487782794, acc 0.85165, f1 0.37857, p 0.69737, r 0.25980
Iter 10300, task mwe, loss 1.1964306910832723, acc 0.83112, f1 0.10314, p 0.50000, r 0.05750
Iter 10300, task hyperlinks, loss 0.41563478112220764, acc 0.84954, f1 0.40472, p 0.64865, r 0.29412
Iter 10400, task mwe, loss 1.189901073773702, acc 0.83020, f1 0.11672, p 0.47742, r 0.06649
Iter 10400, task hyperlinks, loss 0.4161613384882609, acc 0.84996, f1 0.40541, p 0.65217, r 0.29412
Iter 10500, task mwe, loss 1.1859630505243937, acc 0.83081, f1 0.09724, p 0.49587, r 0.05391
Iter 10500, task hyperlinks, loss 0.41328680515289307, acc 0.84996, f1 0.39519, p 0.66092, r 0.28186
Iter 10600, task mwe, loss 1.178965981801351, acc 0.82990, f1 0.11225, p 0.46711, r 0.06379
Iter 10600, task hyperlinks, loss 0.4162138104438782, acc 0.84827, f1 0.40468, p 0.63684, r 0.29657
Iter 10700, task mwe, loss 1.1750167608261108, acc 0.83081, f1 0.10568, p 0.48529, r 0.05930
Iter 10700, task hyperlinks, loss 0.409390389919281, acc 0.85165, f1 0.38732, p 0.68750, r 0.26961
Iter 10800, task mwe, loss 1.1680185238520304, acc 0.83051, f1 0.12471, p 0.47059, r 0.07188
Iter 10800, task hyperlinks, loss 0.41401877999305725, acc 0.84150, f1 0.39610, p 0.58654, r 0.29902
Iter 10900, task mwe, loss 1.163066562016805, acc 0.83081, f1 0.10281, p 0.48485, r 0.05750
Iter 10900, task hyperlinks, loss 0.4068814814090729, acc 0.85165, f1 0.37410, p 0.70270, r 0.25490
Iter 11000, task mwe, loss 1.155645783742269, acc 0.83066, f1 0.11811, p 0.47771, r 0.06739
Iter 11000, task hyperlinks, loss 0.41173354784647626, acc 0.85334, f1 0.35821, p 0.75000, r 0.23529
Iter 11100, task mwe, loss 1.1491358995437622, acc 0.83173, f1 0.11342, p 0.51079, r 0.06379
Iter 11100, task hyperlinks, loss 0.41007428367932636, acc 0.85080, f1 0.35897, p 0.71014, r 0.24020
Iter 11200, task mwe, loss 1.1440914154052735, acc 0.83158, f1 0.11200, p 0.51095, r 0.06289
Iter 11200, task hyperlinks, loss 0.40842772523562115, acc 0.85207, f1 0.38801, p 0.69182, r 0.26961
Iter 11300, task mwe, loss 1.1371024290720622, acc 0.83142, f1 0.12303, p 0.50323, r 0.07008
Iter 11300, task hyperlinks, loss 0.41155846913655597, acc 0.85165, f1 0.40206, p 0.67241, r 0.28676
Iter 11400, task mwe, loss 1.1324238379796345, acc 0.83173, f1 0.10780, p 0.51538, r 0.06020
Iter 11400, task hyperlinks, loss 0.41102035840352374, acc 0.85123, f1 0.40545, p 0.66480, r 0.29167
Iter 11500, task mwe, loss 1.1277306874593098, acc 0.83173, f1 0.10924, p 0.51515, r 0.06110
Iter 11500, task hyperlinks, loss 0.4091716706752777, acc 0.85334, f1 0.35993, p 0.74046, r 0.23775
Iter 11600, task mwe, loss 1.1213539997736612, acc 0.83097, f1 0.11690, p 0.48366, r 0.06649
