Iter 23300, task keysem17, loss 0.36184251060088474, acc 0.83745, f1 0.65358, p 0.71671, r 0.60066
Iter 23400, task keysem17, loss 0.3623441817859809, acc 0.83757, f1 0.66365, p 0.70394, r 0.62773
Iter 23500, task keysem17, loss 0.36669665823380154, acc 0.83672, f1 0.65647, p 0.70847, r 0.61159
Iter 23600, task keysem17, loss 0.37392547478278476, acc 0.83575, f1 0.63821, p 0.72838, r 0.56790
Iter 23700, task keysem17, loss 0.36597687378525734, acc 0.83527, f1 0.65586, p 0.70266, r 0.61491
Iter 23800, task keysem17, loss 0.36505906532208127, acc 0.83732, f1 0.65818, p 0.70989, r 0.61349
Iter 23900, task keysem17, loss 0.3686467297375202, acc 0.83636, f1 0.67025, p 0.69014, r 0.65147
Iter 24000, task keysem17, loss 0.3719223539034526, acc 0.83660, f1 0.63979, p 0.73093, r 0.56885
Iter 24100, task keysem17, loss 0.36736997961997986, acc 0.83636, f1 0.66334, p 0.69795, r 0.63200
Iter 24200, task keysem17, loss 0.37006952861944836, acc 0.83478, f1 0.66990, p 0.68364, r 0.65670
Iter 24300, task keysem17, loss 0.3684427924454212, acc 0.83648, f1 0.67344, p 0.68639, r 0.66097
Iter 24400, task keysem17, loss 0.37213626752297085, acc 0.83648, f1 0.65892, p 0.70410, r 0.61918
Iter 24500, task keysem17, loss 0.3712119261423747, acc 0.83599, f1 0.66031, p 0.70059, r 0.62441
Iter 24600, task keysem17, loss 0.36961470420161885, acc 0.83720, f1 0.66929, p 0.69514, r 0.64530
Iter 24700, task keysem17, loss 0.37264105180899304, acc 0.83430, f1 0.67460, p 0.67637, r 0.67284
Iter 24800, task keysem17, loss 0.3727668970823288, acc 0.83599, f1 0.66014, p 0.70080, r 0.62393
Iter 24900, task keysem17, loss 0.37389640510082245, acc 0.83684, f1 0.65040, p 0.71723, r 0.59497
Iter 25000, task keysem17, loss 0.3736429313818614, acc 0.83696, f1 0.66249, p 0.70191, r 0.62726
Iter 25100, task keysem17, loss 0.3766305521130562, acc 0.83684, f1 0.65925, p 0.70547, r 0.61871
Iter 25200, task keysem17, loss 0.37916091581185657, acc 0.83454, f1 0.67100, p 0.68084, r 0.66144
Iter 25300, task keysem17, loss 0.3755589847763379, acc 0.83612, f1 0.66895, p 0.69060, r 0.64862
Iter 25400, task keysem17, loss 0.37977388004461926, acc 0.83503, f1 0.65023, p 0.70805, r 0.60114
