Iter 5690, task fnt, loss 0.5284554362297058
Iter 5700, task fnt, loss 0.5101473331451416
Iter 5710, task fnt, loss 0.5037135481834412
Iter 5720, task fnt, loss 0.5088556408882141
Iter 5730, task fnt, loss 0.5000132322311401
Iter 5740, task fnt, loss 0.5135709047317505
Iter 5750, task fnt, loss 0.5073918104171753
Iter 5760, task fnt, loss 0.5104877352714539
Iter 5770, task fnt, loss 0.5220474004745483
Iter 5780, task fnt, loss 0.49311771988868713
Iter 5790, task fnt, loss 0.5095265507698059
Iter 5800, task fnt, loss 0.5070828199386597
Iter 5810, task fnt, loss 0.5060129761695862
Iter 5820, task fnt, loss 0.5187410116195679
Iter 5830, task fnt, loss 0.5006937384605408
Iter 5840, task fnt, loss 0.5020197629928589
Iter 5850, task fnt, loss 0.5055721402168274
Iter 5860, task fnt, loss 0.49495387077331543
Iter 5870, task fnt, loss 0.5111477375030518
Iter 5880, task fnt, loss 0.490434467792511
Iter 5890, task fnt, loss 0.5256567001342773
Iter 5900, task fnt, loss 0.5063382387161255
