Iter 4090, task ccg, loss 2.9781641960144043
Iter 4100, task ccg, loss 2.9194672107696533
Iter 4110, task ccg, loss 2.78806209564209
Iter 4120, task ccg, loss 2.8041157722473145
Iter 4130, task ccg, loss 2.8640832901000977
Iter 4140, task ccg, loss 2.9417972564697266
Iter 4150, task ccg, loss 2.988006114959717
Iter 4160, task ccg, loss 2.9180350303649902
Iter 4170, task ccg, loss 2.896928548812866
Iter 4180, task ccg, loss 2.882380723953247
Iter 4190, task ccg, loss 2.787365436553955
Iter 4200, task ccg, loss 2.9576587677001953
Iter 4210, task ccg, loss 2.905264377593994
Iter 4220, task ccg, loss 2.8862407207489014
Iter 4230, task ccg, loss 2.8156700134277344
Iter 4240, task ccg, loss 2.853370189666748
Iter 4250, task ccg, loss 2.8293967247009277
Iter 4260, task ccg, loss 2.896800994873047
Iter 4270, task ccg, loss 2.813774585723877
Iter 4280, task ccg, loss 2.90220308303833
Iter 4290, task ccg, loss 3.0046067237854004
Iter 4300, task ccg, loss 2.9489245414733887
Iter 4310, task ccg, loss 2.866785764694214
Iter 4320, task ccg, loss 3.0081093311309814
Iter 4330, task ccg, loss 2.8982317447662354
Iter 4340, task ccg, loss 2.8669934272766113
Iter 4350, task ccg, loss 2.824110507965088
Iter 4360, task ccg, loss 2.758370876312256
Iter 4370, task ccg, loss 2.885497808456421
Iter 4380, task ccg, loss 2.838146924972534
Iter 4390, task ccg, loss 2.7922606468200684
Iter 4400, task ccg, loss 2.7911343574523926
Iter 4410, task ccg, loss 2.9296398162841797
Iter 4420, task ccg, loss 2.835641384124756
Iter 4430, task ccg, loss 2.8060765266418457
Iter 4440, task ccg, loss 2.7874646186828613
Iter 4450, task ccg, loss 2.824603319168091
Iter 4460, task ccg, loss 2.7949013710021973
Iter 4470, task ccg, loss 2.914839744567871
Iter 4480, task ccg, loss 2.7385990619659424
Iter 4490, task ccg, loss 2.878174304962158
Iter 4500, task ccg, loss 2.7910189628601074
Iter 4510, task ccg, loss 2.884547710418701
Iter 4520, task ccg, loss 2.844081401824951
Iter 4530, task ccg, loss 2.7672054767608643
Iter 4540, task ccg, loss 2.9459457397460938
Iter 4550, task ccg, loss 2.6877195835113525
Iter 4560, task ccg, loss 2.9769396781921387
Iter 4570, task ccg, loss 2.95949125289917
Iter 4580, task ccg, loss 2.7637035846710205
Iter 4590, task ccg, loss 2.8708653450012207
Iter 4600, task ccg, loss 2.6818959712982178
Iter 4610, task ccg, loss 2.838106632232666
Iter 4620, task ccg, loss 2.8642096519470215
Iter 4630, task ccg, loss 2.921433925628662
Iter 4640, task ccg, loss 2.7751412391662598
Iter 4650, task ccg, loss 2.841679096221924
Iter 4660, task ccg, loss 2.858025074005127
Iter 4670, task ccg, loss 2.882622241973877
Iter 4680, task ccg, loss 2.870211601257324
Iter 4690, task ccg, loss 2.8833529949188232
Iter 4700, task ccg, loss 2.8510406017303467
Iter 4710, task ccg, loss 2.792008876800537
Iter 4720, task ccg, loss 2.784174680709839
Iter 4730, task ccg, loss 2.7547173500061035
Iter 4740, task ccg, loss 2.7983720302581787
Iter 4750, task ccg, loss 2.7913918495178223
Iter 4760, task ccg, loss 2.746142625808716
Iter 4770, task ccg, loss 2.847567081451416
Iter 4780, task ccg, loss 2.7955965995788574
Iter 4790, task ccg, loss 2.8295035362243652
Iter 4800, task ccg, loss 2.8591718673706055
Iter 4810, task ccg, loss 2.7843480110168457
Iter 4820, task ccg, loss 2.6976170539855957
Iter 4830, task ccg, loss 2.6654512882232666
Iter 4840, task ccg, loss 2.7547085285186768
Iter 4850, task ccg, loss 2.7755043506622314
Iter 4860, task ccg, loss 2.794459342956543
Iter 4870, task ccg, loss 2.5774989128112793
Iter 4880, task ccg, loss 2.8901569843292236
Iter 4890, task ccg, loss 2.7243802547454834
Iter 4900, task ccg, loss 2.8548355102539062
Iter 4910, task ccg, loss 2.7213830947875977
Iter 4920, task ccg, loss 2.7704131603240967
Iter 4930, task ccg, loss 2.8401825428009033
Iter 4940, task ccg, loss 2.6446938514709473
Iter 4950, task ccg, loss 2.8401615619659424
Iter 4960, task ccg, loss 2.7442362308502197
Iter 4970, task ccg, loss 2.7416958808898926
Iter 4980, task ccg, loss 2.737600326538086
Iter 4990, task ccg, loss 2.7945430278778076
Iter 5000, task ccg, loss 2.83221435546875
Iter 5010, task ccg, loss 2.703291654586792
Iter 5020, task ccg, loss 2.9001624584198
Iter 5030, task ccg, loss 2.7338149547576904
Iter 5040, task ccg, loss 2.673860549926758
Iter 5050, task ccg, loss 2.653733968734741
Iter 5060, task ccg, loss 2.7245781421661377
Iter 5070, task ccg, loss 2.8422293663024902
Iter 5080, task ccg, loss 2.665100574493408
Iter 5090, task ccg, loss 2.6679306030273438
Iter 5100, task ccg, loss 2.7619681358337402
Iter 5110, task ccg, loss 2.85154128074646
Iter 5120, task ccg, loss 2.759748935699463
Iter 5130, task ccg, loss 2.7460250854492188
Iter 5140, task ccg, loss 2.7973742485046387
Iter 5150, task ccg, loss 2.6862282752990723
Iter 5160, task ccg, loss 2.6331355571746826
Iter 5170, task ccg, loss 2.7858805656433105
Iter 5180, task ccg, loss 2.8562357425689697
Iter 5190, task ccg, loss 2.6668684482574463
Iter 5200, task ccg, loss 2.741339921951294
Iter 5210, task ccg, loss 2.7911887168884277
Iter 5220, task ccg, loss 2.70589017868042
Iter 5230, task ccg, loss 2.697835922241211
Iter 5240, task ccg, loss 2.634596586227417
Iter 5250, task ccg, loss 2.7758584022521973
Iter 5260, task ccg, loss 2.8018829822540283
Iter 5270, task ccg, loss 2.8112831115722656
Iter 5280, task ccg, loss 2.6772522926330566
Iter 5290, task ccg, loss 2.8121426105499268
Iter 5300, task ccg, loss 2.7580244541168213
Iter 5310, task ccg, loss 2.8110692501068115
Iter 5320, task ccg, loss 2.8729004859924316
Iter 5330, task ccg, loss 2.7239603996276855
Iter 5340, task ccg, loss 2.64943265914917
Iter 5350, task ccg, loss 2.589695692062378
Iter 5360, task ccg, loss 2.7098262310028076
Iter 5370, task ccg, loss 2.6952412128448486
Iter 5380, task ccg, loss 2.6464717388153076
Iter 5390, task ccg, loss 2.675274133682251
Iter 5400, task ccg, loss 2.6677842140197754
Iter 5410, task ccg, loss 2.6509032249450684
Iter 5420, task ccg, loss 2.6460254192352295
Iter 5430, task ccg, loss 2.694997787475586
Iter 5440, task ccg, loss 2.802739381790161
Iter 5450, task ccg, loss 2.6852660179138184
Iter 5460, task ccg, loss 2.720860481262207
Iter 5470, task ccg, loss 2.8048110008239746
Iter 5480, task ccg, loss 2.7416749000549316
Iter 5490, task ccg, loss 2.659450054168701
Iter 5500, task ccg, loss 2.7427525520324707
Iter 5510, task ccg, loss 2.5997631549835205
Iter 5520, task ccg, loss 2.7269482612609863
Iter 5530, task ccg, loss 2.6626243591308594
Iter 5540, task ccg, loss 2.5405850410461426
Iter 5550, task ccg, loss 2.6814944744110107
Iter 5560, task ccg, loss 2.7758870124816895
Iter 5570, task ccg, loss 2.702573299407959
Iter 5580, task ccg, loss 2.7744944095611572
Iter 5590, task ccg, loss 2.7571396827697754
Iter 5600, task ccg, loss 2.637809991836548
Iter 5610, task ccg, loss 2.6276168823242188
Iter 5620, task ccg, loss 2.679304361343384
Iter 5630, task ccg, loss 2.5384323596954346
Iter 5640, task ccg, loss 2.643009901046753
Iter 5650, task ccg, loss 2.6806657314300537
Iter 5660, task ccg, loss 2.837026834487915
Iter 5670, task ccg, loss 2.695862293243408
Iter 5680, task ccg, loss 2.6375863552093506
Iter 5690, task ccg, loss 2.6128573417663574
Iter 5700, task ccg, loss 2.550624370574951
Iter 5710, task ccg, loss 2.624863386154175
Iter 5720, task ccg, loss 2.69453501701355
Iter 5730, task ccg, loss 2.645221710205078
Iter 5740, task ccg, loss 2.6364803314208984
Iter 5750, task ccg, loss 2.7355151176452637
Iter 5760, task ccg, loss 2.707263946533203
Iter 5770, task ccg, loss 2.637977361679077
Iter 5780, task ccg, loss 2.687669277191162
Iter 5790, task ccg, loss 2.66451358795166
Iter 5800, task ccg, loss 2.7133824825286865
Iter 5810, task ccg, loss 2.6671547889709473
Iter 5820, task ccg, loss 2.694603681564331
Iter 5830, task ccg, loss 2.552609443664551
Iter 5840, task ccg, loss 2.6477415561676025
Iter 5850, task ccg, loss 2.500823497772217
Iter 5860, task ccg, loss 2.672640323638916
Iter 5870, task ccg, loss 2.7678730487823486
Iter 5880, task ccg, loss 2.606041431427002
Iter 5890, task ccg, loss 2.7357888221740723
Iter 5900, task ccg, loss 2.598970651626587
Iter 5910, task ccg, loss 2.619041919708252
Iter 5920, task ccg, loss 2.7183728218078613
Iter 5930, task ccg, loss 2.6507019996643066
Iter 5940, task ccg, loss 2.634243965148926
Iter 5950, task ccg, loss 2.5571630001068115
Iter 5960, task ccg, loss 2.7081334590911865
Iter 5970, task ccg, loss 2.536072254180908
Iter 5980, task ccg, loss 2.572150230407715
