Iter 11000, task hyperlinks, loss 0.5203514099121094, acc 0.85334, f1 0.37906, p 0.71918, r 0.25735
Iter 11100, task gpos, loss 1.1561619917551675, acc 0.80410, f1 0.80540, p 0.80670, r 0.80410
Iter 11100, task hyperlinks, loss 0.5217629472414652, acc 0.85038, f1 0.38957, p 0.67066, r 0.27451
Iter 11200, task gpos, loss 1.1486691157023112, acc 0.80527, f1 0.80657, p 0.80788, r 0.80527
Iter 11200, task hyperlinks, loss 0.5186997453371683, acc 0.85080, f1 0.39446, p 0.67059, r 0.27941
Iter 11300, task gpos, loss 1.1430209477742512, acc 0.80440, f1 0.80564, p 0.80688, r 0.80440
Iter 11300, task hyperlinks, loss 0.5187853078047434, acc 0.84996, f1 0.39100, p 0.66471, r 0.27696
Iter 11400, task gpos, loss 1.135231335957845, acc 0.80454, f1 0.80584, p 0.80714, r 0.80454
Iter 11400, task hyperlinks, loss 0.5190904438495636, acc 0.85080, f1 0.39446, p 0.67059, r 0.27941
Iter 11500, task gpos, loss 1.129738481839498, acc 0.80527, f1 0.80652, p 0.80776, r 0.80527
Iter 11500, task hyperlinks, loss 0.520965188741684, acc 0.84996, f1 0.36918, p 0.68667, r 0.25245
Iter 11600, task gpos, loss 1.1227312405904135, acc 0.80689, f1 0.80801, p 0.80914, r 0.80689
Iter 11600, task hyperlinks, loss 0.5174368719259897, acc 0.84827, f1 0.40268, p 0.63830, r 0.29412
Iter 11700, task gpos, loss 1.1162736336390178, acc 0.80864, f1 0.80977, p 0.81090, r 0.80864
Iter 11700, task hyperlinks, loss 0.5183438758055369, acc 0.84869, f1 0.38045, p 0.66061, r 0.26716
Iter 11800, task gpos, loss 1.1087560256322224, acc 0.80923, f1 0.81042, p 0.81161, r 0.80923
Iter 11800, task hyperlinks, loss 0.5152149796485901, acc 0.85038, f1 0.40000, p 0.66102, r 0.28676
Iter 11900, task gpos, loss 1.1018493970235188, acc 0.81040, f1 0.81159, p 0.81278, r 0.81040
Iter 11900, task hyperlinks, loss 0.5144724349180857, acc 0.85292, f1 0.42211, p 0.66667, r 0.30882
Iter 12000, task gpos, loss 1.0966578563054403, acc 0.81026, f1 0.81145, p 0.81264, r 0.81026
Iter 12000, task hyperlinks, loss 0.5145504772663116, acc 0.85292, f1 0.41821, p 0.67027, r 0.30392
Iter 12100, task gpos, loss 1.0906218528747558, acc 0.81187, f1 0.81288, p 0.81390, r 0.81187
Iter 12100, task hyperlinks, loss 0.5144839485486349, acc 0.85165, f1 0.41414, p 0.66129, r 0.30147
