Iter 19600, task semcor, loss 0.7126484044343542, acc 0.80376, f1 0.62134, p 0.62937, r 0.61350
Iter 19700, task semcor, loss 0.7085378348950767, acc 0.80429, f1 0.62181, p 0.62854, r 0.61522
Iter 19800, task semcor, loss 0.7044091803440149, acc 0.80446, f1 0.62215, p 0.62985, r 0.61463
Iter 19900, task semcor, loss 0.700375677512546, acc 0.80466, f1 0.62321, p 0.62965, r 0.61690
Iter 20000, task semcor, loss 0.6964808073103058, acc 0.80496, f1 0.62329, p 0.62791, r 0.61874
Iter 20100, task semcor, loss 0.6925893525899567, acc 0.80521, f1 0.62355, p 0.63097, r 0.61630
Iter 20200, task semcor, loss 0.6888382996338002, acc 0.80547, f1 0.62422, p 0.63310, r 0.61559
Iter 20300, task semcor, loss 0.6850286732055633, acc 0.80582, f1 0.62504, p 0.62966, r 0.62050
Iter 20400, task semcor, loss 0.6812436621381629, acc 0.80582, f1 0.62500, p 0.63040, r 0.61970
Iter 20500, task semcor, loss 0.6773978041072316, acc 0.80630, f1 0.62561, p 0.63125, r 0.62006
Iter 20600, task semcor, loss 0.6736593641356158, acc 0.80647, f1 0.62641, p 0.63289, r 0.62007
Iter 20700, task semcor, loss 0.6700599103487304, acc 0.80691, f1 0.62766, p 0.63559, r 0.61993
Iter 20800, task semcor, loss 0.6664124354565859, acc 0.80736, f1 0.62821, p 0.63658, r 0.62005
Iter 20900, task semcor, loss 0.662818671877093, acc 0.80741, f1 0.62898, p 0.63644, r 0.62169
Iter 21000, task semcor, loss 0.6594197801921678, acc 0.80756, f1 0.62834, p 0.63280, r 0.62394
Iter 21100, task semcor, loss 0.655702384979335, acc 0.80816, f1 0.63007, p 0.63751, r 0.62281
Iter 21200, task semcor, loss 0.652225575215081, acc 0.80829, f1 0.63000, p 0.63639, r 0.62374
Iter 21300, task semcor, loss 0.6488936048610363, acc 0.80875, f1 0.63044, p 0.63632, r 0.62467
Iter 21400, task semcor, loss 0.6455148043839828, acc 0.80874, f1 0.63090, p 0.63669, r 0.62521
Iter 21500, task semcor, loss 0.6420342484122724, acc 0.80922, f1 0.63178, p 0.63847, r 0.62522
Iter 21600, task semcor, loss 0.6389451416876498, acc 0.80944, f1 0.63164, p 0.63947, r 0.62399
Iter 21700, task semcor, loss 0.635556605908688, acc 0.80961, f1 0.63262, p 0.64122, r 0.62426
Iter 21800, task semcor, loss 0.6323514236426502, acc 0.81022, f1 0.63408, p 0.64031, r 0.62797
Iter 21900, task semcor, loss 0.6290641128399851, acc 0.81026, f1 0.63392, p 0.63906, r 0.62885
Iter 22000, task semcor, loss 0.6258341683610873, acc 0.81030, f1 0.63340, p 0.63999, r 0.62694
Iter 22100, task semcor, loss 0.6229293497576229, acc 0.81066, f1 0.63413, p 0.63824, r 0.63007
Iter 22200, task semcor, loss 0.619640841000322, acc 0.81091, f1 0.63509, p 0.64331, r 0.62709
Iter 22300, task semcor, loss 0.6166788007038227, acc 0.81147, f1 0.63588, p 0.64207, r 0.62981
Iter 22400, task semcor, loss 0.6136583613682978, acc 0.81137, f1 0.63585, p 0.64290, r 0.62895
Iter 22500, task semcor, loss 0.610843359066586, acc 0.81177, f1 0.63710, p 0.64459, r 0.62977
Iter 22600, task semcor, loss 0.6077979241592296, acc 0.81213, f1 0.63730, p 0.64232, r 0.63237
Iter 22700, task semcor, loss 0.6048912844672707, acc 0.81202, f1 0.63774, p 0.64444, r 0.63118
Iter 22800, task semcor, loss 0.6018968776146078, acc 0.81241, f1 0.63776, p 0.64417, r 0.63148
Iter 22900, task semcor, loss 0.5991597531004722, acc 0.81256, f1 0.63883, p 0.64732, r 0.63057
Iter 23000, task semcor, loss 0.5962911267951903, acc 0.81298, f1 0.63919, p 0.64651, r 0.63202
Iter 23100, task semcor, loss 0.59339784656499, acc 0.81313, f1 0.63950, p 0.64751, r 0.63170
Iter 23200, task semcor, loss 0.5906021205041226, acc 0.81307, f1 0.63915, p 0.64580, r 0.63264
Iter 23300, task semcor, loss 0.5878880798940086, acc 0.81384, f1 0.64098, p 0.64710, r 0.63498
Iter 23400, task semcor, loss 0.5852128067989033, acc 0.81388, f1 0.64071, p 0.64758, r 0.63399
Iter 23500, task semcor, loss 0.5826110356712934, acc 0.81419, f1 0.64186, p 0.64977, r 0.63415
Iter 23600, task semcor, loss 0.5797928020080424, acc 0.81443, f1 0.64142, p 0.64714, r 0.63580
Iter 23700, task semcor, loss 0.5774016104499746, acc 0.81459, f1 0.64235, p 0.64929, r 0.63556
Iter 23800, task semcor, loss 0.5746657090651076, acc 0.81478, f1 0.64282, p 0.65096, r 0.63488
Iter 23900, task semcor, loss 0.5719832816232558, acc 0.81510, f1 0.64288, p 0.64922, r 0.63665
Iter 24000, task semcor, loss 0.5696239349881561, acc 0.81527, f1 0.64377, p 0.65117, r 0.63654
Iter 24100, task semcor, loss 0.5670405921235094, acc 0.81551, f1 0.64379, p 0.65050, r 0.63722
Iter 24200, task semcor, loss 0.5645455834041224, acc 0.81586, f1 0.64455, p 0.65205, r 0.63722
Iter 24300, task semcor, loss 0.5622443442635902, acc 0.81592, f1 0.64461, p 0.64770, r 0.64154
Iter 24400, task semcor, loss 0.5597141915720195, acc 0.81600, f1 0.64482, p 0.65234, r 0.63746
Iter 24500, task semcor, loss 0.5573121646176213, acc 0.81597, f1 0.64528, p 0.65121, r 0.63946
Iter 24600, task semcor, loss 0.5549649449362271, acc 0.81641, f1 0.64576, p 0.65082, r 0.64077
Iter 24700, task semcor, loss 0.55264332779446, acc 0.81672, f1 0.64723, p 0.65575, r 0.63892
Iter 24800, task semcor, loss 0.5503596227238143, acc 0.81688, f1 0.64683, p 0.64976, r 0.64394
Iter 24900, task semcor, loss 0.5479175755079242, acc 0.81731, f1 0.64756, p 0.65387, r 0.64136
Iter 25000, task semcor, loss 0.5456407779739016, acc 0.81734, f1 0.64756, p 0.65227, r 0.64292
Iter 25100, task semcor, loss 0.543479540394947, acc 0.81769, f1 0.64803, p 0.65503, r 0.64118
Iter 25200, task semcor, loss 0.5412833880687106, acc 0.81768, f1 0.64845, p 0.65429, r 0.64272
Iter 25300, task semcor, loss 0.5391890742270349, acc 0.81814, f1 0.64849, p 0.65362, r 0.64343
Iter 25400, task semcor, loss 0.5369666764208002, acc 0.81814, f1 0.64877, p 0.65315, r 0.64444
Iter 25500, task semcor, loss 0.534891708790639, acc 0.81848, f1 0.64961, p 0.65701, r 0.64237
Iter 25600, task semcor, loss 0.5327266401632479, acc 0.81864, f1 0.65038, p 0.65717, r 0.64373
Iter 25700, task semcor, loss 0.5306499216620719, acc 0.81863, f1 0.65092, p 0.66016, r 0.64194
Iter 25800, task semcor, loss 0.5285465382887957, acc 0.81883, f1 0.65096, p 0.65741, r 0.64464
Iter 25900, task semcor, loss 0.526517044004693, acc 0.81948, f1 0.65166, p 0.65639, r 0.64700
Iter 26000, task semcor, loss 0.5244480664562241, acc 0.81922, f1 0.65134, p 0.65825, r 0.64457
