Iter 23800, task mwe, loss 0.2159456729888916, acc 0.85097, f1 0.38683, p 0.57989, r 0.29021
Iter 23900, task mwe, loss 0.21532447040081024, acc 0.85204, f1 0.39835, p 0.58204, r 0.30279
Iter 24000, task mwe, loss 0.2158689171075821, acc 0.85265, f1 0.38490, p 0.59735, r 0.28392
Iter 24100, task mwe, loss 0.21577942470709482, acc 0.85097, f1 0.37160, p 0.59369, r 0.27044
Iter 24200, task mwe, loss 0.2140372614065806, acc 0.85219, f1 0.38916, p 0.59049, r 0.29021
Iter 24300, task mwe, loss 0.21319521566232044, acc 0.85280, f1 0.39952, p 0.59051, r 0.30189
Iter 24400, task mwe, loss 0.2126378148794174, acc 0.85341, f1 0.40496, p 0.59036, r 0.30818
Iter 24500, task mwe, loss 0.21180940667788187, acc 0.85280, f1 0.40864, p 0.58333, r 0.31447
Iter 24600, task mwe, loss 0.211747474471728, acc 0.85326, f1 0.40332, p 0.59337, r 0.30548
Iter 24700, task mwe, loss 0.21151280601819356, acc 0.85326, f1 0.40449, p 0.59170, r 0.30728
Iter 24800, task mwe, loss 0.21175783375898996, acc 0.85097, f1 0.38679, p 0.58333, r 0.28931
Iter 24900, task mwe, loss 0.21058216790358225, acc 0.85204, f1 0.40328, p 0.58010, r 0.30907
Iter 25000, task mwe, loss 0.21078157027562458, acc 0.85158, f1 0.39502, p 0.58115, r 0.29919
Iter 25100, task mwe, loss 0.20951665739218395, acc 0.85189, f1 0.41244, p 0.57464, r 0.32165
Iter 25200, task mwe, loss 0.21076397399107616, acc 0.85173, f1 0.38842, p 0.59083, r 0.28931
Iter 25300, task mwe, loss 0.2101352870464325, acc 0.85219, f1 0.38865, p 0.59191, r 0.28931
Iter 25400, task mwe, loss 0.20883170862992603, acc 0.85234, f1 0.40541, p 0.58574, r 0.30997
Iter 25500, task mwe, loss 0.20985677242279052, acc 0.85204, f1 0.38165, p 0.59770, r 0.28032
Iter 25600, task mwe, loss 0.20888028144836426, acc 0.85265, f1 0.39592, p 0.59567, r 0.29650
Iter 25700, task mwe, loss 0.20712852974732718, acc 0.85265, f1 0.41609, p 0.57735, r 0.32525
Iter 25800, task mwe, loss 0.20800881187121073, acc 0.85326, f1 0.39125, p 0.60413, r 0.28931
Iter 25900, task mwe, loss 0.20645721554756163, acc 0.85143, f1 0.41040, p 0.57536, r 0.31896
