Iter 12400, task mwe, loss 0.5663255115350088, acc 0.83127, f1 0.12174, p 0.50658, r 0.06918
Iter 12500, task fnt, loss 0.6504932430482679, acc 0.78816, f1 0.42501, p 0.59498, r 0.33057
Iter 12500, task mwe, loss 0.563691767056783, acc 0.83142, f1 0.09903, p 0.51261, r 0.05481
Iter 12600, task fnt, loss 0.6517799688923743, acc 0.78780, f1 0.39511, p 0.60807, r 0.29263
Iter 12600, task mwe, loss 0.5599774758021037, acc 0.83204, f1 0.11093, p 0.52672, r 0.06199
Iter 12700, task fnt, loss 0.6458335509223323, acc 0.78877, f1 0.42443, p 0.59841, r 0.32883
Iter 12700, task mwe, loss 0.5566933174928029, acc 0.83219, f1 0.11102, p 0.53077, r 0.06199
Iter 12800, task fnt, loss 0.643343242906755, acc 0.78903, f1 0.43082, p 0.59668, r 0.33711
Iter 12800, task mwe, loss 0.553533548116684, acc 0.83234, f1 0.10968, p 0.53543, r 0.06110
Iter 12900, task fnt, loss 0.6441908392214006, acc 0.78805, f1 0.40504, p 0.60424, r 0.30462
Iter 12900, task mwe, loss 0.5508321245511373, acc 0.83188, f1 0.10518, p 0.52846, r 0.05840
Iter 13000, task fnt, loss 0.6373887360095978, acc 0.78913, f1 0.44153, p 0.59229, r 0.35194
Iter 13000, task mwe, loss 0.5474879622459412, acc 0.83265, f1 0.11831, p 0.53623, r 0.06649
